xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_344,2012-09-26,29.63,,,plantcat_8,9736
detail_345,2012-09-26,103.43,,,plantcat_8,9736
detail_346,2014-12-24,7.84,,,plantcat_8,9736
detail_347,2013-12-06,50.16,,,plantcat_9,12659
detail_348,2017-05-30,2.86,,,plantcat_9,12659
detail_349,2016-10-25,2.48,,,plantcat_8,19466
detail_350,2017-01-27,14,,,plantcat_8,22087
detail_351,2010-12-14,1.67,,,plantcat_8,11936
detail_352,2012-08-08,1.8,,,plantcat_8,11936
detail_353,2017-03-23,6.9,,,plantcat_8,22142
detail_354,2017-03-31,4.8,,,plantcat_8,12277
detail_355,2015-11-24,4.37,,,plantcat_9,12679
detail_356,2019-05-14,32.41,,,plantcat_8,9450
detail_357,2013-12-17,0.84,,,plantcat_10,22495
detail_358,2011-03-01,4.9,,,plantcat_9,9885
detail_359,2016-12-13,2.7,,,plantcat_9,9885
detail_360,2016-12-09,2.7,,,plantcat_9,10573
detail_361,2017-12-01,6.3,,,plantcat_8,12113
detail_362,2019-05-27,7,,,,9497
detail_363,2017-03-21,2.64,,,plantcat_9,16568
detail_364,2012-05-04,56.2,,,plantcat_8,23042
detail_365,2015-03-26,82.6,,,plantcat_8,23042
detail_366,2016-09-28,0.22,,,plantcat_9,11187
detail_367,2015-09-24,13.32,,,plantcat_9,23138
detail_368,2019-05-24,0.15,,,plantcat_9,11188
detail_369,2016-12-20,5.16,,,plantcat_8,10861
detail_370,2017-09-29,5.52,,,plantcat_9,15688
detail_371,2019-07-15,0.3,,,plantcat_9,11181
detail_372,2014-01-20,2.42,,,plantcat_8,11197
detail_373,2014-09-24,5.06,,,plantcat_8,18316
detail_374,2015-09-30,173.84,,,plantcat_8,22525
detail_375,2016-12-23,15.16,,,plantcat_9,22535
detail_376,2011-04-29,20.5,,,plantcat_8,22546
detail_377,2016-03-09,70.3,,,plantcat_8,22546
detail_378,2016-03-10,15.9,,,plantcat_8,22546
detail_379,2015-03-20,8.18,,,plantcat_9,13093
detail_380,2018-11-14,1.98,,,plantcat_9,23415
detail_381,2015-10-05,5.32,,,plantcat_8,25976
detail_382,2015-03-23,5.45,,,plantcat_9,22721
detail_383,2017-09-03,7.98,,,plantcat_9,22721
detail_384,2014-10-01,1.05,,,plantcat_8,12146
detail_385,2020-05-12,36,,,plantcat_9,22993
detail_386,2016-07-05,56.1,,,plantcat_8,23004
detail_387,2016-02-23,936.3,,,plantcat_8,23086
detail_388,2012-08-10,8.97,,,plantcat_9,19696
detail_389,2016-07-05,2.6,,,plantcat_9,19696
detail_390,2017-09-08,1.18,,,plantcat_9,19696
detail_391,2012-03-09,1.8,,,plantcat_8,23293
detail_392,2017-06-30,2.52,,,plantcat_8,23293
detail_393,2018-04-07,0.9,,,plantcat_9,24229
detail_394,2020-11-11,10,,,,14649
detail_395,2014-10-14,1.87,,,plantcat_9,23334
detail_396,2016-07-28,1.73,,,plantcat_9,19065
detail_397,2017-11-29,1.61,,,plantcat_9,23563
detail_398,2014-12-15,4.86,,,plantcat_8,11110
detail_399,2017-12-19,99.2,,,plantcat_9,23570
detail_400,2021-03-17,289,,,,9617
detail_401,2015-06-15,35.95,,,plantcat_8,23616
detail_402,2020-10-22,1.3,,,plantcat_9,11612
detail_403,2017-12-05,2.28,,,plantcat_9,22726
detail_404,2015-06-23,5.88,,,plantcat_8,26216
detail_405,2014-10-02,11.66,,,plantcat_8,22786
detail_406,2016-03-22,22.5,,,plantcat_8,22825
detail_407,2014-12-03,30.6,,,plantcat_8,22856
detail_408,2018-08-23,21,,,,11620
detail_409,2015-03-30,5.8,,,plantcat_8,11404
detail_410,2020-12-11,9.52,,,plantcat_8,11429
detail_411,2017-11-22,1.84,,,plantcat_9,20336
detail_412,2015-09-30,8.58,,,plantcat_8,23286
detail_413,2018-04-09,1.13,,,plantcat_9,23353
detail_414,2012-12-27,44.44,,,plantcat_8,23475
detail_415,2015-03-20,56.61,,,plantcat_8,23475
detail_416,2017-11-22,2.69,,,plantcat_9,19527
detail_417,2014-07-18,9.06,,,plantcat_9,23564
detail_418,2016-03-09,4.56,,,plantcat_9,23564
detail_419,2019-07-09,1.58,,,plantcat_9,23600
detail_420,2015-03-03,56.2,,,plantcat_8,23814
detail_421,2015-03-03,91.3,,,plantcat_9,23814
detail_422,2016-02-11,6.75,,,plantcat_8,23869
detail_423,2020-06-03,320,,,,14666
detail_424,2021-03-23,38.8,,,,9986
detail_425,2013-11-26,312.63,,,plantcat_8,23485
detail_426,2016-10-31,56.45,,,plantcat_8,23587
detail_427,2017-08-17,8,,,plantcat_9,19468
detail_428,2017-04-21,1.26,,,plantcat_9,23725
detail_429,2012-04-15,0.94,,,plantcat_8,13038
detail_430,2017-06-05,3.24,,,plantcat_9,13038
detail_431,2015-09-24,21.84,,,plantcat_8,23807
detail_432,2016-07-20,1.57,,,plantcat_9,23746
detail_433,2012-09-26,72,,,plantcat_9,23759
detail_434,2017-09-29,128.79,,,plantcat_9,23759
detail_435,2015-03-31,5.8,,,plantcat_9,11903
detail_436,2018-02-20,1.76,,,plantcat_9,20366
detail_437,2017-10-01,2.4,,,plantcat_9,22465
detail_438,2019-05-23,6.2,,,plantcat_9,22465
detail_439,2015-03-03,17.4,,,plantcat_9,23908
detail_440,2015-03-17,59.4,,,plantcat_9,23908
detail_441,2017-10-09,1.34,,,plantcat_9,24238
detail_442,2017-12-12,2.21,,,plantcat_9,24238
detail_443,2015-11-10,2.5,,,plantcat_8,24257
detail_444,2015-03-27,5.23,,,plantcat_8,24006
detail_445,2015-03-06,17.28,,,plantcat_8,24019
detail_446,2020-07-16,0.14,,,plantcat_8,24019
detail_447,2015-03-31,16.06,,,plantcat_9,19469
detail_448,2015-09-29,3.24,,,plantcat_8,24040
detail_449,2012-06-30,12.87,,,plantcat_8,24096
detail_450,2017-02-20,6.12,,,plantcat_9,24096
detail_451,2017-10-27,0.12,,,plantcat_8,24155
detail_452,2017-09-28,841.05,,,plantcat_8,24178
detail_453,2016-12-05,0.88,,,plantcat_9,24336
detail_454,2019-10-30,7,,,,14709
detail_455,2021-05-12,2.08,,,plantcat_8,24496
detail_456,2014-12-03,236.1,,,plantcat_8,24515
detail_457,2020-05-12,0.02,,,plantcat_9,24569
detail_458,2017-10-05,2.02,,,plantcat_9,24571
detail_459,2017-09-19,1.01,,,plantcat_9,24618
detail_460,2015-09-28,56.76,,,plantcat_8,24629
detail_461,2015-05-05,10.99,,,plantcat_9,24645
detail_462,2017-11-23,0.86,,,plantcat_9,19565
detail_463,2017-05-18,3.2,,,plantcat_8,24650
detail_464,2017-12-18,6.6,,,plantcat_8,24650
detail_465,2019-05-03,5.5,,,,11039
detail_466,2011-09-30,10.2,,,plantcat_8,20246
detail_467,2016-10-01,3.35,,,plantcat_10,20246
detail_468,2015-03-10,71.76,,,plantcat_8,24462
detail_469,2016-10-19,1.65,,,plantcat_9,20247
detail_470,2020-04-03,52.48,,,plantcat_8,24475
detail_471,2015-08-31,4.86,,,plantcat_8,16419
detail_472,2015-07-15,0.78,,,plantcat_9,20249
detail_473,2015-02-16,7.56,,,plantcat_8,13061
detail_474,2014-09-19,11.44,,,plantcat_8,24935
detail_475,2015-09-30,85.5,,,plantcat_8,24935
detail_476,2016-02-26,34.2,,,plantcat_8,24935
detail_477,2015-11-19,1.68,,,plantcat_10,26595
detail_478,2021-03-12,17.82,,,plantcat_9,25142
detail_479,2015-05-18,6.1,,,plantcat_8,19436
detail_480,2014-02-19,71.22,,,plantcat_8,25176
detail_481,2017-11-08,0.67,,,plantcat_9,25190
detail_482,2019-04-29,39.9,,,plantcat_9,24795
detail_483,2018-04-06,0.3,,,plantcat_9,24815
detail_484,2015-03-27,288.08,,,plantcat_8,25068
detail_485,2016-03-11,85.59,,,plantcat_8,25068
detail_486,2016-07-12,633.36,,,plantcat_8,25068
detail_487,2017-02-01,97.8,,,plantcat_8,25068
detail_488,2017-02-01,89.4,,,plantcat_8,25068
detail_489,2017-02-20,832.5,,,plantcat_8,25068
detail_490,2017-02-20,543.6,,,plantcat_8,25068
detail_491,2017-03-16,81.2,,,plantcat_8,25068
detail_492,2017-07-12,82.5,,,plantcat_8,25068
detail_493,2017-07-12,123.6,,,plantcat_8,25068
detail_494,2017-09-27,90.27,,,plantcat_8,25068
detail_495,2014-12-03,22.95,,,plantcat_8,25081
detail_496,2015-09-30,54.6,,,plantcat_8,25088
detail_497,2015-07-31,15.08,,,plantcat_9,25930
detail_498,2015-03-25,139.92,,,plantcat_8,25932
detail_499,2015-09-23,420.75,,,plantcat_8,25932
